Date, Temperature, Humidity, Alert Status
2019-02-07 02:48:28,18.1,52.10,False
2019-02-07 02:48:39,18.1,52.30,False
2019-02-07 02:49:10,18.1,52.80,False
2019-02-07 02:49:40,18.1,52.80,False
2019-02-07 02:50:13,18.1,53.40,False
2019-02-07 02:50:44,18.1,53.40,False
2019-02-07 02:51:15,18.2,53.60,False
2019-02-07 02:51:48,18.2,53.50,False
2019-02-07 02:52:18,18.2,53.30,False
2019-02-07 02:52:49,18.3,53.10,False
2019-02-07 02:53:19,18.3,52.90,False
2019-02-07 02:53:50,18.2,52.50,False
2019-02-07 02:54:23,18.2,52.50,False
2019-02-07 02:54:54,18.2,52.40,False
2019-02-07 02:55:27,18.2,52.10,False
2019-02-07 02:55:57,18.2,52.00,False
2019-02-07 02:56:30,18.1,51.90,False
2019-02-07 02:57:01,18.1,51.40,False
2019-02-07 02:57:34,18.1,52.00,False
2019-02-07 02:58:07,18.1,52.00,False
2019-02-07 02:58:38,18.1,52.00,False
2019-02-07 02:59:08,18.1,52.00,False
2019-02-07 02:59:39,18.1,51.90,False
2019-02-07 03:00:09,18.1,51.90,False
2019-02-07 03:00:40,18.1,51.90,False
2019-02-07 03:01:10,18.0,51.80,False
2019-02-07 03:01:41,18.0,51.90,False
2019-02-07 03:02:17,18.0,52.70,False
2019-02-07 03:02:47,17.9,52.60,False
2019-02-07 03:03:18,18.0,53.20,False
2019-02-07 03:03:48,18.0,53.60,False
2019-02-07 03:04:19,18.1,53.90,False
2019-02-07 03:04:49,18.1,53.80,False
2019-02-07 03:05:20,18.3,53.80,False
2019-02-07 03:05:51,18.3,53.30,False
2019-02-07 03:06:29,18.3,52.40,False
2019-02-07 03:07:02,18.4,51.70,False
2019-02-07 03:08:04,18.4,51.90,False
2019-02-07 03:08:35,18.4,51.70,False
2019-02-07 03:09:05,18.3,51.60,False
2019-02-07 03:09:36,18.3,51.70,False
2019-02-07 03:10:06,18.2,51.60,False
2019-02-07 03:10:39,18.2,51.40,False
2019-02-07 03:11:10,18.1,51.60,False
2019-02-07 03:11:41,18.1,51.50,False
2019-02-07 03:12:11,18.1,51.60,False
2019-02-07 03:12:42,18.1,51.70,False
2019-02-07 03:13:12,18.1,51.80,False
2019-02-07 03:13:43,18.0,51.60,False
2019-02-07 03:14:13,18.0,51.70,False
2019-02-07 03:14:49,18.0,52.30,False
2019-02-07 03:15:19,18.0,52.30,False
2019-02-07 03:15:55,18.0,53.20,False
2019-02-07 03:16:26,18.0,53.10,False
2019-02-07 03:16:56,18.1,53.50,False
2019-02-07 03:17:27,18.1,53.60,False
2019-02-07 03:18:00,18.2,53.10,False
2019-02-07 03:18:30,18.2,53.00,False
2019-02-07 03:19:06,18.2,52.60,False
2019-02-07 03:19:37,18.3,52.60,False
